,gameid,gamerank,matchingmode,avg_ranktier,avg_getmmr,avg_rankpoint,characterNum_1,weaponCode_1,damage_1,playerkill_1,characterNum_2,weaponCode_2,damage_2,playerkill_2,characterNum_3,weaponCode_3,damage_3,playerkill_3,total_damage,total_kill,avg_damage,avg_kill,max_damage,min_damage,max_kill,min_kill,main_melee_cnt,main_ranged_cnt,main_support_cnt,sub_bruiser_cnt,sub_assassin_cnt,sub_poke_cnt,sub_sustain_cnt,sub_util_cnt,sub_tank_cnt,sub_nuker_cnt
avg_damage,0.004989887165288316,-0.6909494984587586,,0.20081289808806538,0.7265609814863643,0.2228427479132205,-0.02385446060450681,0.005872595579603783,0.8115980236999661,0.5987833520019648,-0.024781935467162647,-0.0043927141703821206,0.8138630205663211,0.5986901306928518,-0.015777229933355723,-0.0007543511230688397,0.813597687596238,0.5962027298683054,0.9999999991298122,0.8451990728442724,1.0,0.8355775689330339,0.9480908311138817,0.8854904575032162,0.7763278774368982,0.6499369462513979,-0.02324282612660336,0.03138073026026984,-0.030410997769731662,-0.03356984914129733,0.018797632080201184,0.03092968814454769,-0.01343304249345126,0.028054639771757685,-0.016208648050963264,0.01481776853236176
avg_kill,0.0021305361280005695,-0.6336072869485816,,0.1356585188816468,0.8119821732631699,0.15974111164759475,-0.02292518692725404,0.0030362442700159233,0.6804556812914626,0.6999813601373762,-0.022275698203916294,-0.004994167738624343,0.6818339826118203,0.7012541150921883,-0.0161419734576052,-0.005349151375282178,0.6757016316794525,0.6967543561665395,0.8355776096507879,0.9885963294332706,0.8355775689330339,1.0,0.7777319159701384,0.7572065675933921,0.9064584113045542,0.762625638832812,0.009713662986511743,-0.004007608705259854,-0.019826243709191376,0.00943442606840504,0.007707531754932448,-0.019521372617922944,0.007697706656057967,-0.0004790752575698589,-0.02267700958941331,0.00997589751118538
max_damage,0.0038617333355052655,-0.6582741593332104,,0.15475251202319446,0.6932822932659625,0.17556504633577283,-0.02166919235108801,-0.000597220397710924,0.7670736532594792,0.5561708565437204,-0.02165738670906314,-0.008571486288084516,0.7717148055394932,0.5578836953188421,-0.01320163576547582,-0.006408568858090171,0.7736817285394385,0.5557458199991637,0.9480908585658541,0.786825475080459,0.9480908311138817,0.7777319159701384,1.0,0.7308314168355019,0.7489102512044802,0.5679454156256873,-0.022335711499159135,0.013832966614703955,0.02909117733393147,-0.047604762656767295,0.018556089720357345,0.029607314975342348,-0.010170329834069215,0.05486542564933147,0.007260498372340564,-0.005395601874966266
min_damage,0.004628909130019137,-0.6065314789711662,,0.2257888457342559,0.6329656827069029,0.24527097273958615,-0.02639835433214609,0.013026869646973128,0.7263721495718382,0.546596839622205,-0.02778847877040395,0.0009690060258951726,0.7197870502126497,0.5418489752783181,-0.01989783033616739,0.005893250989963111,0.713540022588157,0.5366976496463536,0.8854903877605002,0.7657941155845144,0.8854904575032162,0.7572065675933921,0.7308314168355019,1.0,0.664441985068057,0.6602548714040695,0.0013967048322951923,0.04172514671360981,-0.1539756626061942,0.01883682203951195,0.01794175238923443,0.024908047060775977,-0.0289529034166746,-0.034695431900793314,-0.06108874330600018,0.042874184684348886
max_kill,0.0024898733132509604,-0.5915018896538179,,0.10954752581081313,0.7578633897867474,0.13192674837518684,-0.022889349184412475,0.0031069898934662304,0.6312264448602823,0.6489125213903545,-0.02269945059409865,-0.0027263676999975213,0.6346754749553067,0.6519946372114476,-0.015167358480688545,-0.0044842695246522105,0.6275794404917037,0.6466635219101804,0.7763278225607028,0.9177173719687165,0.7763278774368982,0.9064584113045542,0.7489102512044802,0.664441985068057,1.0,0.530937366262884,0.003258134585714575,-0.008728616432332583,0.01973122640429263,-0.011626110892081114,0.00743778435229385,-0.02858451782993499,0.018988551105016016,0.028561637859933386,-0.003766607601038949,0.001689284924086532
min_kill,0.00046814213109170233,-0.4903424821837759,,0.12163793820661468,0.634835089999165,0.1405515525826151,-0.015420660072639267,0.001005981283014678,0.531169015783915,0.5491520655196654,-0.014990715299811993,-0.005982211280680897,0.5283605933623052,0.5460723045689042,-0.01210757900896985,-0.004030406722538854,0.5256754572039959,0.5442058118862159,0.6499369779035656,0.7725188230727719,0.6499369462513979,0.762625638832812,0.5679454156256873,0.6602548714040695,0.530937366262884,1.0,0.016006169905235068,0.009572622436427702,-0.09046093007253785,0.03833291111401069,0.009806371431060366,0.004219570752913164,-0.012873731530679205,-0.05526194891661597,-0.04386208648623305,0.02292630766724538
main_melee_cnt,-0.0013130570185352062,0.012897507496734812,,-0.016596641402157664,-0.0043982459462716065,-0.016800627202162206,0.026313537359228853,-0.03490684663016676,-0.018301917974830415,0.007623270278270764,0.03214237297299602,-0.035124511272703926,-0.02028570747327738,0.0033868755469127973,0.03490586514663094,-0.025288213346348995,-0.018099703379560222,0.008083315921798825,-0.02324283158835826,0.008992760101931471,-0.02324282612660336,0.009713662986511743,-0.022335711499159135,0.0013967048322951923,0.003258134585714575,0.016006169905235068,1.0,-0.9603156039718707,-0.08422116915885167,0.609285579412127,0.2381873151733658,-0.3602822568741299,-0.3862396600703217,-0.04881025613734445,0.06736021507103016,-0.2818075741926172
main_ranged_cnt,0.000813245111720575,-0.015352091006814297,,0.018276033757797107,0.005244814822795631,0.018517070716676576,-0.044788302653097176,0.01676886768697951,0.026039400485172014,-0.003746943381912454,-0.052690637103441934,0.016024410802606644,0.026669197953781035,0.0007620909312003949,-0.054207477383428744,0.006972459330863538,0.023818955089352056,-0.004251849999337267,0.03138077916854998,-0.003405460845509091,0.03138073026026984,-0.004007608705259854,0.013832966614703955,0.04172514671360981,-0.008728616432332583,0.009572622436427702,-0.9603156039718707,1.0,-0.1970457853825294,-0.5915462383388836,-0.22761998481234855,0.37223799149687636,0.4082321394282896,-0.07658785830921697,-0.051427691879935226,0.29940567117222483
main_support_cnt,0.0017100434318455503,0.009511490867907759,,-0.006954963433190487,-0.0032775688282769364,-0.007099071739695741,0.06751694225127156,0.06279025066155591,-0.028696090916701517,-0.013409716502874503,0.07526014699174227,0.06621497444135782,-0.023973028474325763,-0.0146275646428088,0.07096544048809907,0.06397895926399094,-0.021474171682867405,-0.013222969698261826,-0.030411153300047167,-0.019443473545458723,-0.030410997769731662,-0.019826243709191376,0.02909117733393147,-0.1539756626061942,0.01973122640429263,-0.09046093007253785,-0.08422116915885167,-0.1970457853825294,1.0,-0.02830811408084886,-0.024043873222319937,-0.06344855615849374,-0.10079954001545227,0.44518492859768866,-0.05304326326929314,-0.07908976249788656
sub_bruiser_cnt,0.00020259979458155358,0.020004072298238886,,-0.018722143741075243,-0.0015465416758238607,-0.018864991341012036,0.05405324536431694,0.047560713494367524,-0.023710637444150758,0.0059777666663289345,0.06906730493108156,0.042507255531865656,-0.029121376724430943,0.003574965447116321,0.07641880099291054,0.0450519536686528,-0.029067429135156315,0.009135225088937077,-0.033569789328397305,0.00879845146608715,-0.03356984914129733,0.00943442606840504,-0.047604762656767295,0.01883682203951195,-0.011626110892081114,0.03833291111401069,0.609285579412127,-0.5915462383388836,-0.02830811408084886,1.0,-0.1608287580882332,-0.3052559771680897,-0.3756249177950901,-0.2565070709285499,-0.3870839038323948,-0.2268009492349856
